Time resolution is 1 ps
Time	cs	sclk	si	done
0	1	0	0	0
350000	0	1	0	0
400000	0	0	0	0
450000	0	1	1	0
500000	0	0	1	0
550000	0	1	0	0
600000	0	0	0	0
650000	0	1	1	0
700000	0	0	1	0
750000	0	1	1	0
800000	0	0	1	0
850000	0	1	0	0
900000	0	0	0	0
950000	0	1	0	0
1000000	0	0	0	0
1050000	0	1	0	0
1100000	0	0	0	0
1150000	0	1	1	0
1200000	0	0	1	0
1250000	0	1	0	0
1300000	0	0	0	0
1350000	0	1	0	0
1400000	0	0	0	0
1450000	0	1	1	0
1500000	0	0	1	0
1550000	0	1	0	0
1600000	0	0	0	0
1650000	0	1	1	0
1700000	0	0	1	0
1750000	0	1	1	0
1800000	0	0	1	0
1850000	0	1	0	0
1900000	0	0	0	0
1950000	0	0	1	0
2050000	1	0	1	1
2150000	1	0	0	0
$finish called at time : 5300 ns : File "C:/Users/rdawe/my_project/my_project.srcs/sim_1/new/tb_spi_cs_gen.v" Line 43
